GEM,KITAMOTO
TZPWR2403000049456,8b5f3cfae1032ec7bf1b0cc568c1c4f1
TZPWR2403000050406,588c79facd1f09fbccba0fd482d7d406
TZPWR2403000050403,e7fc8a4e2a7ef1768721fcb03e064a7f
TZPWR2403000050401,cf8ad2372825bee71c7778eeb661e6ae
TZPWR2403000050400,c9c234c6ebe591cffcd5a2c641549f4f
TZPWR2403000050386,10b07b002c81785e394f578c27214f5c
TZPWR2403000050362,93e14f38833e57bfb9b2174abd760eb3
TZPWR2403000050360,571cc3853770c8de1caeab3ca873eeb2
TZPWR2403000050353,7491d7e6f6b96110b9420014d7dbc6fc
TZPWR2403000050326,74fd8200dc3f64c3e544ce52f99d9542
TZPWR2403000050325,342eb3265122c33a6294245f117d92de
TZPWR2403000050322,c7d2cc95a787d3dfd696fda6bb1ccc40
TZPWR2403000050279,c5137ae1351d88c3ef5b890090b5058a
TZPWR2403000050242,32e5b9c40b6c687d248e7889e9eb0ed2
TZPWR2403000050234,02018c013deeba1997947f6912151206
TZPWR2403000050198,0b29bba90c92aaa58f4a8249f848183a
TZPWR2403000050181,b24a913e486ca8a57f2e58826b6b0cbf
TZPWR2403000050158,ec596dcff31b21749826ff7b27f5e08f
TZPWR2403000050149,0ec60bd1d8377c4274ba0001f3ae91d4
TZPWR2403000050147,02ef31fc6fc08f059c95a6a2071f70ed
TZPWR2403000050123,f6bce8abb1cfa25b3fc9307cd83d5b66
TZPWR2403000050108,0dcb4919ce8b7e4f94bf29039341c3a8
TZPWR2403000050409,4e92b6405dd80c46abdf6b703feaa5b2
TZPWR2403000050411,59e1fb416e61fbed4c20018681ae870d
TZPWR2403000050572,afa38ea84af1ce7af16253a8fa76bddf
TZPWR2403000050695,85fee5eb9b9a5b7b5436f78138ed2956
TZPWR2403000050692,18721cff6ff701f7d7330fe7e334196f
TZPWR2403000050689,8861caf445a8b6e3d24beb15d321d512
TZPWR2403000050686,4e1dda88ffccad1742f583ec938af2c3
TZPWR2403000050678,eed01d4621c705690bb6259b34244918
TZPWR2403000050616,52ef0e9472dff78fb434239202f5b495
TZPWR2403000050595,bb90339cc94ce197a22c7e2f0dede4a0
TZPWR2403000050587,92a7ddcc73389f72bfe2f70060817644
TZPWR2403000050581,fba1d93edea3a942e1e3df063b4ac544
TZPWR2403000050574,6df56b8c2284ee49f93a0586e34166d1
TZPWR2403000050571,23bae13d7483956fa5bba56665f651bc
TZPWR2403000050413,943c4e176654f0f3006b5e974dddde08
TZPWR2403000050544,b04ecaa17c84f601d45490d5b0faad42
TZPWR2403000050531,03dacf784644495cf9142bcc7aeb6c03
TZPWR2403000050504,8cba9d131d070f30a2cc81992799e81a
TZPWR2403000050492,3858d2d2ef5919f80d3b2a79f2c9dafd
TZPWR2403000050458,3a9f07104c4d017955d993c550253938
TZPWR2403000050438,1d1ac6aadcafb746d9e1c454ea75faa0
TZPWR2403000050068,e002a8385c10f3e8a46a0e40cac95589
TZPWR2403000050064,c1c7de35e07aa85e3482a392d33240c3
TZPWR2403000049474,eb618cd75a1bdf583f8ada02fae9a95b
TZPWR2403000049742,389bd097904b23e101bdf253ce5a175d
TZPWR2403000049731,c71a85c6920141c720517c2cdea0642a
TZPWR2403000049703,bd5ee4e412b8c3088300fb5512b62fe4
TZPWR2403000049699,7d711351d5ea818600e4b0c15948d8d2
TZPWR2403000049680,95bad0b3c5f7eb4ee8ec759d0929a766
TZPWR2403000049679,ab380d4a18f947e49a478225e8e74f8d
TZPWR2403000049670,8e6d77b340bdcde8090c6ce531966210
TZPWR2403000049669,8860ce106398fa1ce33ab03cb77df2bd
TZPWR2403000049636,0ce3dae27912428ea4a3fe2751c370a7
TZPWR2403000049620,67a2400812a0ae6181b8f2473c6888ca
TZPWR2403000049611,e4d0451292a3fb026cd410d70adc4c89
TZPWR2403000049609,450bd65660fe6524e395a73e044cce82
TZPWR2403000049592,eb7968a25db8c0df0c23628cec2e1bfd
TZPWR2403000049559,bd2dc197331a76ab19424c39baf8b76e
TZPWR2403000049534,e30d4454509ff00b7a21ec5948ea0517
TZPWR2403000049533,3d4dfc6a93402bc51cacfa8fdecdad22
TZPWR2403000049531,ac4bbd1540563f8c5ef4d38df94ff6cb
TZPWR2403000049525,e8df99eb39800b4aaffb7b888b548d49
TZPWR2403000049503,b3920af29cc61602dfa99186f3527188
TZPWR2403000049482,12bbbb4aa408a97e7c3c17cd0feb1b51
TZPWR2403000049481,c2f3500086f9dc969a3ca0a8159cdf29
TZPWR2403000049779,a34501e5fa5c7b3bbb577b116c360662
TZPWR2403000049781,37ac4fd0f3851b20832fb8e06268aa2b
TZPWR2403000049782,636f05ed19f84aab14a8ea7c6be1cbaf
TZPWR2403000049920,bb7cd2d5cc8c11b3ed660d24d1da76ad
TZPWR2403000050049,a847de4122652b67881a4b3b83114d9b
TZPWR2403000050029,4f8f5a426e398cf2cd0116b00084bd4f
TZPWR2403000050024,2a54c6c420d0f238567efa656936e712
TZPWR2403000050012,ea2f6b128eef245f7af48e8a0a1278f4
TZPWR2403000050010,9c7eab40848f6596062942552b2f7393
TZPWR2403000050008,d0570983f2cecefff28f4a6bb1ca31eb
TZPWR2403000049963,86c963f76087231624ea96ba0703a44a
TZPWR2403000049957,8d44cb5377e75e74f2b211cd8a80df03
TZPWR2403000049938,0c5ea7403694e6ffae4025ac52a1eed4
TZPWR2403000049918,a7f52b5b7970881207e364694ecdcb7c
TZPWR2403000049789,043652b8f4196afbd7f4ddccb7dfe6c9
TZPWR2403000049899,d04f66f4c5c2e10220f89b67ba05aa37
TZPWR2403000049897,76da4ed9475422052af1523c7b61e671
TZPWR2403000049892,2e5b4ff62f26330e1ccce72dc1a9c94b
TZPWR2403000049887,d0810ff77c562e06a5c170c27b09aae9
TZPWR2403000049884,da61e11b22ec030ace09a6982112d3cf
TZPWR2403000049878,77e13aa35715a37d2ca6f541a1f9b485
TZPWR2403000049827,19e02b0739026962f2a149f5ea11ce32
TZPWR2403000049826,33a21ab7fcaa284f6f9d412d9f175b95
TZPWR2403000049821,32df66b1202fa9e99b7818479f068cc7
TZPWR2403000049818,61d7229b2c19102781a13825599a1496
TZPWR2403000050700,a424dd4e076540d8b240289baf244269
TZPWR2403000049713,6d4d736ecbb09396e72a284393ebfe37
TZPWR2403000049617,8f8bb2369140e82b8fef48c0c0376780
TZPWR2403000050558,cd492a4e0547607fa75b29f890eae5a2
TZPWR2403000050475,2f24fdc84bd809fdfc31becd33f76052
TZPWR2403000050408,65580bcb1f9f134ba42b73f0ce2fa1ff
TZPWR2403000050395,44341ede24dd87018aa5c86c56bbe3f0
TZPWR2403000050204,335fed2007baf0c7261d87787c78153c
TZPWR2403000050138,e374bbe3b3a8be66042902c59b09bbcb
TZPWR2403000050125,8fd287da37409125fb805089c4a0cf84
TZPWR2403000050086,94f1be4e899c780f2a5f41f5bccca503
TZPWR2403000050065,8098f6973ed85f16731474c4b177ffcd
TZPWR2403000050062,ea54e642819c9cfb8c84c5247f4ebc51
TZPWR2403000049991,55af2dbec6b6a5a6d288144a897033d8
TZPWR2403000049985,7afbe692b14db6ee87fb00fad33b65e5
TZPWR2403000049888,758d052574681720d7fa12698ea5243a
TZPWR2403000049692,4aae4a0482e61e841b748542cf9c7301
TZPWR2403000049678,27b2fc6d92a6d208f0094c894b1919ec
TZPWR2403000050593,110b811a659c0fca7c72dd88400990a3
TZPWR2403000049699,9a036b7abf551598018ae68c8a035725
TZPWR2403000049991,2c33937cc77de808e2ee52572fe75f92
TZPWR2403000050339,b6f3e4fd69b2a3139b7322c5a7a24340
TZPWR2403000050097,af061d93f511cbc830dc1e95fac73811
TZPWR2403000050243,961ff34e92120f51d59ea673a0080a8b
TZPWR2403000050398,859687756067d578802257339f59860c
TZPWR2403000049794,85f495d12feef713d9aaf1f8aa80a4de
TZPWR2403000050405,c63a239a8d83ea8827685a4e483ed101
TZPWR2403000050045,1cd775f4f3ca2a400ff21ba31374b7b2
TZPWR2403000050120,976fe10df7231d0895230637e3cd0ce5
TZPWR2403000050157,c436fdcaf6420be2888bf717aa2c9382
TZPWR2403000050169,256684cb85782a1e24f520574c8a8e32
TZPWR2403000050189,02b1b938cf048d3f5176cdce0746399e
TZPWR2403000050407,c78f4ca5abf49126b7fd001004c49344
TZPWR2403000050009,c72b9dff929b46ab2e153f7941a7ea6c
TZPWR2403000050472,e904c87edec0c9b24d2580f6109a800d
TZPWR2403000050519,89acb2f9fe3d093a7157d2dd8b96d41e
TZPWR2403000050611,3931e6f5780948f4871dd07ac661f7a1
TZPWR2403000050617,a873d4a3e7c6edd3220669a322d08d76
TZPWR2403000050025,f70e2b8555752c291c00f012d26f4fe7
TZPWR2403000049989,2b5c14d97f1f26f27516053fa8702a49
TZPWR2403000049800,f877b023aaf7f23955f841af3cd9eb3c
TZPWR2403000049632,b393d9907cefabee8ac9a2f7ab3262d3
TZPWR2403000049654,bee2aa769b8f03ccbe0cdf08ed5e6f8a
TZPWR2403000049661,48dc428aa1d5076736456e03f9622349
TZPWR2403000049665,f4f4bab069392700cc045153e4347588
TZPWR2403000049704,4e372b8e050afc32e4362b39062584d8
TZPWR2403000049793,985077198d93954b1d41df4f48d938de
TZPWR2403000049988,45d4e356eeecc0bb0a1e188c87f5fd99
TZPWR2403000049843,0e5649d416395b1404d5ec6df049efc0
TZPWR2403000049847,b9c4eaf2eb604874874a7c468e968f82
TZPWR2403000049862,dca5c94a9608d0766a42f92254263e58
TZPWR2403000049868,ce5bf7c05fb015715017bae9a69096cb
TZPWR2403000049939,fb14727c63ab8d0682c888ee6b4997c4
TZPWR2403000049975,2eb3c7d3f2b9ef4344d050b6fbbc06b3
TZPWR2403000049472,b68e527a57e6a07ce8a1120715e0b2fa
TZPWR2403000050282,cc032579be3eb8a46f61172246f0f040
TZPWR2403000050537,e52442a573d73dcf32ff83e2e00de058
TZPWR2403000050156,270249b749a682d0a94391f71ab9a45b
TZPWR2403000049554,92f0c5ba71e21f2957ff5c27d4a9c449
TZPWR2403000049663,5fbfcc3c0806496fc60d113d7bf27dba
TZPWR2403000049453,cf6363b0070122331ffaba5874903c16
TZPWR2403000050079,388026e5433a06832338740eb05a7d03
TZPWR2403000050394,cad9a8d8daaf61c923ade072d3355096
TZPWR2403000050354,a35b89a08ecbb2ce055c30f692f84223
TZPWR2403000050319,185305ed3cb38e917d2e5cfa3ac81b93
TZPWR2403000050317,162ff5321004f0b8d88f5e0b182c2b44
TZPWR2403000050210,29ffd843e9a865ec40d7b204568d55e6
TZPWR2403000050192,6d2e6219b2f4a313f10d4d347b3343f3
TZPWR2403000050141,0620eeec605aa1d5f85d25d1008093e0
TZPWR2403000050137,5f501a5e71bbc21db892c0dde18d5b1e
TZPWR2403000050121,a02ed92fca7114b50fc9e38bc99c5fd3
TZPWR2403000050685,4f43e9c6acd22b56de2b9696573e3773
TZPWR2403000050684,2e4e835727d526508db666c3d097cb84
TZPWR2403000050609,3fc8b2621db6745fd4a88637c637dc7d
TZPWR2403000050567,bed3dbca7e2404f83176f1fe4d1cc8db
TZPWR2403000050101,ec5e8632a3e9aca8ea82da8efd2745cf
TZPWR2403000050069,b5d89c40fd5ebba73c4e52af596576b2
TZPWR2403000049743,af1ddbd5d1058bcf0fd32f01494aed05
TZPWR2403000049693,265a9bd35a951588f8a705496101681e
TZPWR2403000049651,9bca454e8e4d0e75a4b1558381c6faad
TZPWR2403000049614,a51092ea1ae60b438cf0ac4dee5d8acf
TZPWR2403000049603,9b738c94be8f1cf1fa4a70b48cb24012
TZPWR2403000050328,37984962f1ae2f38e86445286d64bd89
TZPWR2403000049528,57e6c93dfbce156b2bcf281b1c28a1ee
TZPWR2403000049524,c6bdb81f31d1d4c002f62d5de23ff07c
TZPWR2403000049480,be58f5480a54d34c9740bd1a6c7eb13d
TZPWR2403000049748,baae0beb9d271c20a47d13c88d68c0d0
TZPWR2403000049776,4b9b2a03ac88404f5051fe8e824d22d7
TZPWR2403000049875,ae8019a2d80bfaaa629f63f3b000ac1e
TZPWR2403000049907,20c53069b42c22bca42169f5421ddf66
TZPWR2403000049870,dff22e13c80375e4ba0a6a4def2fee81
TZPWR2403000049783,6f2128b088714d938b3242f5bd0be05d
TZPWR2403000049861,4670cbdd512a2f7043bd6b6cb11adda7
TZPWR2403000049860,fa80a82c79fc612ad2f08a6354593e45
TZPWR2403000049797,c0257f0bda491d3a3afedbea812495f9
TZPWR2403000049784,14c815db9d41a48c111a4757f9f68673
TZPWR2403000050697,e7ed790d6b14d3cba526855fc57c7588
TZPWR2403000049634,6af47391f8ecda7be06abb6262ce8d49
TZPWR2403000050569,090d85ff3ebd5c35570fb57a5781ae27
TZPWR2403000050568,261d78533297324edef6ac2a23e66a42
TZPWR2403000050536,bac7cf2e6b1a2ec81ca6fac0dac5da5d
TZPWR2403000050507,6595799195198b7b82c241cda5f9d506
TZPWR2403000050502,cc26dc7219687c41ec8a46f6871b8db2
TZPWR2403000050110,43352eb8e2d4cca4d2cccf4d83b9f117
TZPWR2403000050000,056dc6537f250db61bbcd747639e10bd
TZPWR2403000049987,1acc5f34d6c11c6c4c6fb7f66e029878
TZPWR2403000049973,d019761530545f3fcc5d3a93c051f80f
TZPWR2403000049869,93d27a5872eaf065083cd3adb87c1f7f
TZPWR2403000049737,ee42be06828b5204b514edcb7186094b
TZPWR2403000050615,7e094f9642f4fe1d958b63f70fac4670
TZPWR2403000049805,f2dc9f37a2af389f6499d16cad5e37ed
TZPWR2403000050155,27f849c66e6241d76686770d5e5b9a5c
TZPWR2403000050421,b3fe535828216d50ff91bdd11a3cda1e
TZPWR2403000050569,cb0f338f54fff9bc424996393f51ed5b
TZPWR2403000050594,ec3717c289852b374d0b261c7e5c95f3
TZPWR2403000050096,bfc49a09eaf07b9817effc4eb9692035
TZPWR2403000049825,6069d73c549713baa3e8edc809e958bf
TZPWR2403000050704,f0b875424c0983b301064bae0f2522fb
TZPWR2403000050683,50893b5fa746f318963317c96e769fa0
TZPWR2403000050490,8910e6b63294cf560a70b225096a38b1
TZPWR2403000050456,4bfa3d4151d6e22aa311b9ec3d293fe7
TZPWR2403000049537,f4f3768e2603412dbb32184cc9320cf6
TZPWR2403000049473,eb618cd75a1bdf583f8ada02fae9a95b
TZPWR2403000050427,7a9690117bbd0c5ca29d3cacd5241e75
TZPWR2403000050639,a472a639cd4eb240f76fc49a19d37227
TZPWR2403000049900,63cf1737c1ba40d2e846fa46b63b2489
TZPWR2403000050216,1c196324e5e055dfcf5f9237d460a967
TZPWR2403000050215,d06564012b7ef97c1b731c785cb7244a
TZPWR2403000050389,c1c96c0b37988befd8e0c9b088f26a48
TZPWR2403000050679,bbc251a2fd4c110aa465a31235c20001
TZPWR2403000050590,a2d429e862b200dad1e4088b677b76bf
TZPWR2403000050570,07fbc0d0bb78040b550afc5730d53c77
TZPWR2403000050556,a6db2fcbed253e0d687c0e5b9600c91e
TZPWR2403000050551,dd2795606d0a92970df30140c5598f6b
TZPWR2403000050539,0c4dcc5255a1dba640a71293598ca5d9
TZPWR2403000050529,2a4c189b162b9eedcab3b914046ccb3a
TZPWR2403000050364,fa789299e7abe9c8e5aa1896ec067297
TZPWR2403000050527,9760e06a5aaf465fbf614cd5f42ddb40
TZPWR2403000050511,3b9680f610fb18f5d8ed90d3de6efabe
TZPWR2403000050425,da2e8d1925595e76a70408f509faf15f
TZPWR2403000050424,1cff725871ca99c1162ebfef099fced4
TZPWR2403000050214,1e856439c5e94c61e48f74c7f1768e59
TZPWR2403000049475,882c3507c1e28270a8e9ec598e004476
TZPWR2403000049925,02a05f520b4cc3209facbab01fb5f3b9
TZPWR2403000050331,c8542af82a2285997c5efdc93d00723e
TZPWR2403000049859,7dd7acb30e4ea56d20030ed73300a3dc
TZPWR2403000049823,54c408ba301b5deba5a9d1001473a6f0
TZPWR2403000049724,b593f315da40cd86f7d1ea8bd017720a
TZPWR2403000049721,4be7e1d624ecdf0c5849f4be9ecc4703
TZPWR2403000049656,c517b37f28198d06646c3cad61ebcbdc
TZPWR2403000050188,4269a9fe47bf8a1c7b21f3a126d5c2cf
TZPWR2403000049513,d488099bff17dc21aa185ef9e6b220ab
TZPWR2403000050200,240f89da1b211371808dc8b01736335e
TZPWR2403000049944,f693c08a8ff6a4760821dd730ac1cf90
TZPWR2403000050258,ca9a3a325eca8e07e5319451f11f177c
TZPWR2403000050150,6a405f4be71104478d88679059ca3e2c
TZPWR2403000050116,78e4889d23c4026d70d7d861ab64410e
TZPWR2403000050657,280cab0373565c2dfaeaeaf1cbb56c4d
TZPWR2403000050058,29dbf7282fe717588403ce622ec6729a
TZPWR2403000050017,1be182b1050968dc00776b32ecf1efaf
TZPWR2403000050015,c20aeddb7b768cc0195b8a551519ed03
TZPWR2403000050011,b9f23abffa2ca4ba19ad52d2bb612cd3
TZPWR2403000050256,068d83f01b8fd1217ecc83b6e56c32da
TZPWR2403000050001,5645620f4f1b18281b98baece83b2155
TZPWR2403000050222,cdc50b9dd0ef9326a642d2e64c50193b
TZPWR2403000049461,74c8835c3a5eb8f57d6ea46e763a9d2a
TZPWR2403000050402,6328648987b54711cb8ef7e95e54cea2
TZPWR2403000050330,1eb180cbdc55d1d0d19482811635f9f2
TZPWR2403000050227,a5d9b338a024be60fe76b641239d35fd
TZPWR2403000050221,48851d2e84f2f3979d5c2b730c182f76
TZPWR2403000050220,7ae2445fbc6974771193440cfd97afe4
TZPWR2403000050219,97dd1385a8136fe6eb9c65a1dee08ef4
TZPWR2403000050218,9798d198d538c83386218593daf73b8d
TZPWR2403000050217,bcb3b85f31f7a6b3f4e899365f888b9e
TZPWR2403000050392,d42ad7a395d1b01b8a83c1435cb1936f
TZPWR2403000050404,7b8008707f2a7ea12b6322a7863f650a
TZPWR2403000050212,a9b3d315020f98ea86cdbefadecd33fb
TZPWR2403000050634,1580bb56ea24d9432342c9107e2c5be9
TZPWR2403000050426,cd1e02ed0800a3502a2460acd8bea7ec
TZPWR2403000050420,4f3773306b49dda1ac6c7cad825c3141
TZPWR2403000050211,f273b0dc20ba36cd2ca64fbf0d97e665
TZPWR2403000049906,4db843a45fb0befa5a5e254a3e74a9b4
TZPWR2403000049755,4877beabada16c280b7e012717fcbbe5
TZPWR2403000049753,045cb41f50c90cd00a51c06a6bb8a451
TZPWR2403000049722,9409e79d5b109f6e4855758c631e3b7d
TZPWR2403000049705,91ba9414fcc8d9b590029dbd8fa7357e
TZPWR2403000049690,6d6135bd35c319cb554ae12daa16dc90
TZPWR2403000049657,8729d0f093ca7d2eda0cafa1f74914df
TZPWR2403000049490,bedad94d8c308c435f5ef5c916491be2
TZPWR2403000049921,bd0bf7bbd638640c11f229924899153c
TZPWR2403000049927,0367e874549f20506e52e09e4b294c07
TZPWR2403000050187,97a01e33a64fe2780a298293311ce700
TZPWR2403000050109,48743454ef90db6d03d771101d959c5f
TZPWR2403000050088,f0369770e5660bb133587cf71d3d02c4
TZPWR2403000050543,e09a8d4cb5fb43bfa3b89310707bb76b
TZPWR2403000049977,836a867dc0f3006a9edde94a0d2695ce
TZPWR2403000049968,7e002a4d9d5fbf56b8e29e62a2a4caaa
TZPWR2403000049967,50984a773703547740d8e39093de8271
TZPWR2403000050696,de74e498fdaee3a836bd09697ba55e56
TZPWR2403000049872,422ae8cd5d3f8d0c78ffe2a524c2ee2e
TZPWR2403000050365,f035bbd7af7ad776e4c6747ff1368fbc
TZPWR2403000050002,bd5fffb2d0acbccce06d7702950b2941
TZPWR2403000050090,b0267e955f0daa7d87e133fb47a4678c
TZPWR2403000050412,245823ac20e74c24244f7da82591b65b
TZPWR2403000050443,6d313fc2a5d7435f80c9f459a0f10a4f
TZPWR2403000050552,e673e4ce11c15d1ecf337868731e161a
TZPWR2403000049491,e37d5ba6b7d459ca4f5a2704aceb38ad
TZPWR2403000049552,4269a9fe47bf8a1c7b21f3a126d5c2cf
TZPWR2403000049512,d488099bff17dc21aa185ef9e6b220ab
TZPWR2403000049727,37e33025c5dd43ff4bd1bf8bb86696fc
TZPWR2403000049726,74e409ab7de9112708f9ece0584d5c13
TZPWR2403000050671,cba2fdfce67d743d871edbc3a674bd31
TZPWR2403000050671,b567ad8d3cb860d7c76e0ca5d5239ee0
TZPWR2403000049658,2618830ad525197b85ba2cd158b9c2f4
TZPWR2403000049845,c28432f8bd3d1bfeacf118328f5c1999
TZPWR2403000049980,029a7dfd8c85553dd93fc552138fe8e5
TZPWR2403000050072,edaa450ef1806298ce0db0d70e21f735
TZPWR2403000050487,e1fb644d1d862a006dd271bcb9610fc2
TZPWR2403000050649,0694e66b329a62a3526632d6f367a4c2
TZPWR2403000050680,c0eb03488bd60676fb6cd1389f0a4218

